単身世帯_支出金額[円],,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,,,,,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年
,階層,大分類,中分類,小分類,品目分類,(平成12年),(平成13年),(平成14年),(平成15年),(平成16年),(平成17年),(平成18年),(平成19年),(平成20年),(平成21年),(平成22年),(平成23年),(平成24年),(平成25年),(平成26年),(平成27年),(平成28年),(平成29年),(平成30年),(令和元年),(令和２年),(令和３年),(令和４年),(令和５年),(令和６年)
103,3,9,4,-,教養娯楽サービス,171702,162758,154358,148073,157994,148798,148386,148821,140750,146292,132652,138709,130463,139468,141754,132587,138213,128561,143884,143281,94767,104798,126421,129606,138685
104,4,9,4,1,宿泊料,16884,13844,14170,11351,12641,12523,13333,14937,15203,10926,10656,11481,7909,10134,13706,16431,16502,13572,14252,12565,7624,7617,13512,14018,16312
105,4,9,4,2,パック旅行費,35493,32113,32285,33786,40765,29628,36956,30196,35070,28545,26851,27839,26109,28253,25628,23684,29761,20362,25461,29115,5241,4095,9664,12995,14790
106,4,9,4,3,月謝類,14682,13189,12661,13398,14397,12714,12699,16053,13577,14909,13176,13024,11618,10330,12369,13174,15395,12212,12469,12533,8803,9127,9927,12285,11864
107,4,9,4,4,他の教養娯楽サービス,104644,103612,95242,89539,90191,93932,85398,87635,76900,91914,81969,86365,84828,90752,90052,79298,76555,82414,91702,89069,73100,83960,93319,90308,95719
108,2,10,-,-,その他の消費支出,369490,376948,364896,365511,358561,401497,332585,350799,353360,313617,335293,333911,311419,315747,317601,319678,313753,345044,303417,328308,298650,298321,308135,300611,295098
109,3,10,1,-,諸雑費,150647,157240,151040,157707,176505,155960,159354,154326,176692,153733,160138,169751,158799,160244,174559,166507,174620,172503,167093,180146,169119,174550,177068,182657,178189
110,4,10,1,1,理美容サービス,31860,33721,27649,27003,30336,28034,29577,27545,29619,28665,27074,29586,27137,26518,27965,27985,28422,28207,26591,27315,26114,28235,28719,36958,33195
111,4,10,1,2,理美容用品,24340,25337,25669,24802,31028,26676,25425,24660,28272,26996,28580,28867,29557,28386,26795,29219,30542,32671,28685,33018,31948,33008,30436,33835,36776
112,4,10,1,3,身の回り用品,20734,20179,23733,21390,21248,16805,19070,20593,21878,16297,15451,14446,15239,15233,15944,15584,14879,19230,12034,14432,13191,13895,14760,13654,13057
113,4,10,1,4,たばこ,23576,22462,21034,21850,19146,19911,19846,20445,18643,17915,19115,19980,23033,18514,18346,18095,20255,18920,19758,17987,18745,18450,18689,17558,17215
114,4,10,1,5,他の諸雑費,50136,55541,52955,62662,74747,64533,65436,61084,78280,63861,69918,76872,63833,71593,85509,75625,80522,73476,80026,87393,79120,80961,84465,80653,77946
115,3,10,2,-,使途不明金,356,776,303,315,399,649,435,648,764,1039,1124,381,509,416,969,2018,751,1247,1902,1399,581,261,478,339,323
116,3,10,3,-,交際費,153349,146667,150974,143919,146627,194189,137133,149365,140215,132660,136297,131947,132653,128116,124752,110987,105683,107862,110259,111088,103674,99005,98620,91617,94722
117,4,10,3,6,贈与金,121866,114856,117677,107692,110706,158764,103380,112015,106756,99218,102719,102210,98174,98098,96722,85906,81070,83719,80968,76680,69168,61459,67416,61029,65417
118,4,10,3,7,他の交際費,31484,31811,33297,36227,35920,35425,33753,37350,33459,33441,33579,29737,34479,30017,28029,25081,24613,24142,29290,34408,34506,37546,31204,30588,29306
119,3,10,4,-,仕送り金,65138,72264,62578,63569,35030,50698,35662,46460,35688,26186,37734,31832,19458,26971,17321,40166,32698,63432,24163,35675,25276,24506,31969,25999,21864
120,1,-,-,-,調整集計世帯数,266084,270715,275185,272255,273629,276169,280835,281877,284400,294702,295675,292746,296906,299767,307490,316167,322558,325928,328629,336999,348106,354114,361215,369277,377267
